"","Age","n","cumulative percentage","sampling cutoffs"
"1","16",85,0.0171717171717172,1.56969754992816
"2","17",108,0.038989898989899,9.11551788727332
"3","18",132,0.0656565656565657,14.5287853425144
"4","19",126,0.0911111111111111,18.2644837093503
"5","20",113,0.113939393939394,20.9990789862427
"6","21",130,0.14020202020202,23.6979390876096
"7","22",121,0.164646464646465,25.9153030322191
"8","23",106,0.186060606060606,27.6877759639723
"9","24",95,0.205252525252525,29.171422964371
"10","25",95,0.224444444444444,30.5746900010005
"11","26",91,0.242828282828283,31.8562496184295
"12","27",86,0.26020202020202,33.0198876150641
"13","28",57,0.271717171717172,33.7690533575632
"14","29",75,0.286868686868687,34.7311988343088
"15","30",77,0.302424242424242,35.6942631984884
"16","31",63,0.315151515151515,36.4657478104193
"17","32",69,0.329090909090909,37.2956187799175
"18","33",63,0.341818181818182,38.0410253648921
"19","34",56,0.353131313131313,38.694790483127
"20","35",49,0.363030303030303,39.2606880468888
"21","36",68,0.376767676767677,40.0374879953044
"22","37",69,0.390707070707071,40.8167447752101
"23","38",57,0.402222222222222,41.4545319521089
"24","39",55,0.413333333333333,42.0654928691807
"25","40",67,0.426868686868687,42.8046648757044
"26","41",89,0.444848484848485,43.7794538047808
"27","42",78,0.460606060606061,44.6286462993298
"28","43",78,0.476363636363636,45.4745093563535
"29","44",80,0.492525252525253,46.3400129848508
"30","45",75,0.507676767676768,47.1507987920355
"31","46",68,0.521414141414141,47.8863924946043
"32","47",62,0.533939393939394,48.558247165093
"33","48",77,0.549494949494949,49.3952386922362
"34","49",67,0.563030303030303,50.1268214416855
"35","50",71,0.577373737373737,50.9064669694349
"36","51",78,0.593131313131313,51.7694772240416
"37","52",73,0.607878787878788,52.5846566289471
"38","53",74,0.622828282828283,53.4198037590801
"39","54",77,0.638383838383838,54.2998241434482
"40","55",86,0.655757575757576,55.2982146360576
"41","56",70,0.66989898989899,56.1248115018982
"42","57",56,0.681212121212121,56.7963139020256
"43","58",65,0.694343434343434,57.5884735046808
"44","59",59,0.706262626262626,58.3206522284693
"45","60",69,0.72020202020202,59.1946499004866
"46","61",64,0.733131313131313,60.0243868979874
"47","62",73,0.747878787878788,60.9960637880813
"48","63",59,0.75979797979798,61.8034735738625
"49","64",47,0.769292929292929,62.4623956173055
"50","65",57,0.780808080808081,63.2822212874349
"51","66",51,0.791111111111111,64.0369898324045
"52","67",53,0.801818181818182,64.8449875279284
"53","68",53,0.812525252525253,65.6797970873459
"54","69",53,0.823232323232323,66.5446289187931
"55","70",41,0.831515151515152,67.2366140321701
"56","71",55,0.842626262626263,68.2002183984653
"57","72",48,0.852323232323232,69.0784125998196
"58","73",47,0.861818181818182,69.976580680602
"59","74",42,0.87030303030303,70.8155180797608
"60","75",47,0.87979797979798,71.8007343251641
"61","76",42,0.888282828282828,72.7286632101017
"62","77",41,0.896565656565657,73.6844910314839
"63","78",36,0.903838383838384,74.5706947772576
"64","79",41,0.912121212121212,75.6422314235458
"65","80",36,0.919393939393939,76.6470915312564
"66","81",44,0.928282828282828,77.9730350127007
"67","82",40,0.936363636363636,79.2927965111662
"68","83",39,0.944242424242424,80.7118152625702
"69","84",32,0.950707070707071,81.9996426885565
"70","85",25,0.955757575757576,83.1032005821404
"71","86",40,0.963838383838384,85.1019749181271
"72","87",24,0.968686868686869,86.4843463016134
"73","88",36,0.975959595959596,88.9353478360382
"74","89",15,0.978989898989899,90.1449996982379
"75","90",22,0.983434343434343,92.2192394679721
"76","91",12,0.985858585858586,93.5609428135612
"77","92",19,0.98969696969697,96.1606637973117
"78","93",14,0.992525252525252,98.6897261876717
"79","94",8,0.994141414141414,100.545822232527
"80","95",15,0.997171717171717,105.807883539571
"81","96",4,0.997979797979798,108.112009938901
"82","97",3,0.998585858585859,110.477671522693
"83","98",4,0.999393939393939,115.818706604645
"84","100",3,1,Inf
