"","sens_28_spec_89","sens_57_spec_80","sens_64_spec_76","sens_70_spec_70","sens_75_spec_66","sens_88_spec_63","sens_90_spec_58","sens_95_spec_19","sens_100_spec_3"
"1",13.9636779388851,13.9710026614275,13.9726528652439,13.9739998372145,13.9746782532642,13.9794750126498,13.9797002639358,13.9806315562283,13.9808524717969
"2",13.94486330662,13.9529818636101,13.9553398135301,13.956786600183,13.9569333418707,13.960528865606,13.960778283641,13.9645239801894,13.9668012477815
"3",13.1892819257468,13.1953654480808,13.1953654480808,13.1958498077982,13.1985150612863,13.2011357461476,13.2015354476069,13.201667306534,13.2041033130919
"4",13.4737635628867,13.478073808093,13.4784526470473,13.4784526470473,13.4797844407255,13.4830513993441,13.4830513993441,13.4838897446876,13.4852623148759
"5",13.2296679745895,13.2362518324316,13.2362978891221,13.2377228480458,13.2383017927251,13.2395926314174,13.2395926314174,13.2407968651765,13.2407968651765
"6",13.8326288874213,13.837571058089,13.8394405159295,13.8399679325923,13.8404095601683,13.8420514295687,13.8420514295687,13.8439213233111,13.8439213233111
"7",13.5797514567921,13.5929038308703,13.5949489191329,13.5977095225305,13.6020471584398,13.6052090695907,13.6052090695907,13.6085402206391,13.6115735972529
"8",13.7964112020196,13.8011050368124,13.8027743405576,13.8029442449627,13.8029442449627,13.8049501902543,13.8052752434002,13.8064793681893,13.8064793681893
"9",13.0825806867015,13.0865127231765,13.0909281808134,13.0921362535186,13.0931473943415,13.1003529849183,13.1003529849183,13.1022501904034,13.102318618691
"10",13.7211398167362,13.7243768350366,13.7249583246296,13.7249583246296,13.7257149802469,13.7278280216069,13.7278280216069,13.7278280216069,13.7278280216069
"11",13.7098839788551,13.7132867829052,13.7133773598507,13.7152409236317,13.7154044600059,13.7191560203593,13.7191560203593,13.7191560203593,13.7191560203593
"12",13.1955732798643,13.2061268463036,13.2090375654098,13.2090375654098,13.2090375654098,13.21368514326,13.2138300265356,13.2155236788528,13.2185729692638
"13",14.1092820191457,14.115828964549,14.1169015287442,14.1172366532792,14.1172366532792,14.1233155471451,14.1239926711145,14.1239926711145,14.1241260616567
"14",14.4043713414395,14.4106730085149,14.4106730085149,14.4124295368263,14.4124295368263,14.4190118548328,14.4212666896386,14.42169286051,14.4236820709922
"15",13.1788792375053,13.1839810911475,13.1862084495288,13.1863173759184,13.1872404636449,13.1933617565559,13.1950326791541,13.1955412456752,13.1970266424083
"16",13.5676395727782,13.5714426854631,13.5724924447499,13.5726132010564,13.5726132010564,13.5739729318311,13.5739729318311,13.5768257189919,13.5787569919297
"17",13.5877467096817,13.5920100205687,13.5928370611002,13.5933366756827,13.5958079496121,13.6000342965652,13.600091838605,13.600091838605,13.600091838605
"18",13.4171819508148,13.4246616696356,13.4263041087016,13.4264064746704,13.4288007910437,13.4293570803395,13.4303872517887,13.4322508188647,13.4323242070622
"19",14.1066132095663,14.1100378614096,14.1101196474823,14.1102922240355,14.1112488634,14.1142573747449,14.1142573747449,14.1185115978928,14.1185115978928
"20",13.6865196945321,13.6891081629152,13.6891634998701,13.6892471728121,13.692757021099,13.692757021099,13.6935813538704,13.6955598556594,13.697857096376
"21",14.0014381521305,14.013948898478,14.0166620968595,14.018215898766,14.018215898766,14.0197164454286,14.0218659288466,14.0219541968118,14.0242612508262
"22",13.2671117199902,13.2715145772996,13.2718019267127,13.2730358109693,13.2745616405775,13.2768616684125,13.2768616684125,13.2768616684125,13.2768616684125
"23",13.7063447618987,13.7089197931971,13.7104398194109,13.7117647687436,13.7117647687436,13.7143183635171,13.7143183635171,13.7151128716929,13.7151128716929
"24",13.1221123530137,13.130835076178,13.1309496770014,13.1327479808428,13.1329546094212,13.1368750682829,13.1368750682829,13.1378519882462,13.1378519882462
"25",13.7346727396659,13.7389803848177,13.7393858442997,13.7406405558855,13.7484990049841,13.7503291022562,13.7513280585602,13.7532643644309,13.754741492733
