"","Sens_DR","Spec_DR","Number_recieving_MTC_care","proportion_died_before_discharge","proportion_died_between_discharge_and_1_year","Years_lived","undiscounted_QALYs","discounted_QALYs","undiscounted_Costs","discounted_Costs","proportion_ISS_over_16","proportion_ISS_over_8_under_16"
"1",0,NA,0,0.2119,0.0499,17.6318059032702,12.580097745072,7.50777672828727,182555.529457996,108144.657838156,1,0
"2",0,NA,0,0.2263,0.0488,16.1094166052836,12.6962031092055,7.73179062679958,156742.618294008,96513.8375662229,1,0
"3",0,NA,0,0.1799,0.0433,16.7037006169867,12.093400895103,7.45120445151555,179345.223414827,110756.039787568,1,0
"4",0,NA,0,0.1582,0.0439,18.621213079716,13.6536379601985,8.1788172351023,280247.651230433,163202.913266346,1,0
"5",0,NA,0,0.1634,0.0287,18.9685663806731,14.2906447488124,8.54624841275843,258201.550408512,150677.061349474,1,0
"6",0,NA,0,0.2138,0.0462,17.3336767619598,13.6698090125537,8.22659437527779,173062.570854308,104008.303315157,1,0
"7",0,NA,0,0.1574,0.0638,18.1717021046757,13.5449156275469,8.13260484562681,180966.512460483,108423.247057166,1,0
"8",0,NA,0,0.2686,0.0342,16.5913601568371,11.3645095024253,6.81002748363573,172398.533341215,103295.68149041,1,0
"9",0,NA,0,0.1204,0.0464,20.327276256721,14.3981691896633,8.5052634844433,241594.733818386,139402.238861708,1,0
"10",0,NA,0,0.239,0.0433,16.9333897381128,11.32958206684,6.80221217608503,160948.010522805,97237.5164264796,1,0
"11",0,NA,0,0.129,0.0558,18.7804168264547,14.0679158737441,8.43182690939341,216240.814465978,127991.368796011,1,0
"12",0,NA,0,0.2151,0.0447,16.6730937203686,10.4551898173442,6.34367784447473,184880.621780682,111904.382445264,1,0
"13",0,NA,0,0.1497,0.0509,19.8060409002568,14.1766407717733,8.35209498209684,208686.801098641,120963.271966963,1,0
"14",0,NA,0,0.2502,0.0436,15.241199643089,10.7983181828752,6.67031723717269,138061.297834475,86908.4401477285,1,0
"15",0,NA,0,0.1447,0.0438,18.2511185190946,12.3634175036463,7.48035016224546,192327.087220383,115959.043140536,1,0
"16",0,NA,0,0.1614,0.0531,18.385061907908,13.634236180181,8.18282428722238,180508.61201641,108162.662765815,1,0
"17",0,NA,0,0.238,0.0416,17.8708904850421,11.7680588889291,6.94674530327515,172458.134011654,101623.843577153,1,0
"18",0,NA,0,0.2199,0.0455,16.8542872474516,12.4212019808936,7.49002995591682,166804.443920738,101110.025396498,1,0
"19",0,NA,0,0.1752,0.0366,18.3961484675212,14.1189223093802,8.45978309770456,189318.614358117,113143.451532075,1,0
"20",0,NA,0,0.2515,0.0417,17.0598775607572,11.440007958845,6.85226510018414,161566.492048318,97154.4139620731,1,0
"21",0,NA,0,0.2874,0.0475,15.3666877882879,11.2149220681718,6.76999340466688,181269.253216447,108799.645164313,1,0
"22",0,NA,0,0.2661,0.0411,15.7687093766881,12.1659589407601,7.3693562118018,201435.592367614,121034.408200971,1,0
"23",0,NA,0,0.2642,0.0295,16.2352155375171,11.5340486849808,6.95261464391507,178275.42751674,107116.509144923,1,0
"24",0,NA,0,0.2126,0.0341,17.1726727355482,11.610789097067,7.02874481542002,242953.796501022,144286.311080664,1,0
"25",0,NA,0,0.1659,0.0483,18.666151000675,14.9640862791559,8.94686438585717,222953.78533144,131403.97359177,1,0
"26",0,NA,0,0.1222,0.0544,19.2900152041751,13.877868487815,8.28851126016758,244141.429442479,142718.284373433,1,0
"27",0,NA,0,0.1785,0.0382,17.8627438571665,14.1139170282678,8.53913488422864,134944.673231423,83327.4338587433,1,0
"28",0,NA,0,0.1462,0.032,19.048076387764,13.2252216157668,7.92587301185346,194133.269512385,115688.758905514,1,0
"29",0,NA,0,0.2252,0.0383,17.8503486326328,10.5390919966427,6.26000211345138,166012.898517548,98690.9473404574,1,0
"30",0,NA,0,0.1785,0.037,17.7931763722097,12.9032152931487,7.78830060769003,181117.835966028,109314.959009807,1,0
"31",0,NA,0,0.1612,0.0334,18.2956663573577,14.0859435200277,8.50931352865562,226297.29702165,134796.869018013,1,0
"32",0,NA,0,0.2295,0.0362,18.3320413770665,11.0829740066562,6.5402613176126,173934.013792528,102360.697812183,1,0
"33",0,NA,0,0.2186,0.0397,19.2773726614577,14.2933414173889,8.33900289052763,174700.583279081,101455.311670005,1,0
"34",0,NA,0,0.1522,0.0395,18.9825146267536,14.6712968197342,8.78200151488031,261415.877885607,153038.500268622,1,0
"35",0,NA,0,0.2172,0.0355,19.6423835954151,14.8108077519058,8.60181222121323,168965.274403725,97628.7944379559,1,0
"36",0,NA,0,0.1637,0.0386,19.6411264608257,14.129723332724,8.3505698362099,225886.000936235,131114.468674272,1,0
"37",0,NA,0,0.1649,0.0473,20.1474776238066,15.6543163522457,9.14179238091476,224314.642920953,128182.963294473,1,0
"38",0,NA,0,0.1496,0.0476,18.486436263227,13.1855897670956,7.93052756566907,227741.993672255,134865.024673253,1,0
"39",0,NA,0,0.1401,0.0381,17.5625272813411,10.987381859022,6.73349196570157,168369.865034711,104087.183111066,1,0
"40",0,NA,0,0.1761,0.0371,19.1011522139702,14.0835916463596,8.33370050476288,316029.079161192,180813.664679487,1,0
"41",0,NA,0,0.1309,0.0592,19.0254997489726,12.6770048994648,7.5837255749771,149851.355681153,90938.8290850852,1,0
"42",0,NA,0,0.2158,0.0429,17.8196439776875,12.6778365044978,7.55982708116288,152223.898637416,91308.1412070287,1,0
"43",0,NA,0,0.1511,0.0465,19.1952118266235,13.3124130581896,7.91262315724842,247395.286502575,143879.896473693,1,0
"44",0,NA,0,0.2258,0.0378,17.8790881818249,12.9994521914915,7.74225174673527,152257.987638588,91288.7695330442,1,0
"45",0,NA,0,0.1536,0.0382,18.88298961379,13.3639614958247,8.00262132601156,187101.742959187,111773.449635824,1,0
"46",0,NA,0,0.1604,0.0396,17.1076711748102,13.4062774366998,8.20874561233288,179491.77612758,110162.827454619,1,0
"47",0,NA,0,0.1695,0.0469,18.5873657386313,14.152784035147,8.43751318575218,219705.352232907,128988.318830737,1,0
"48",0,NA,0,0.1417,0.0564,18.9200943548862,15.6472097223094,9.32737085028108,206742.902320259,122163.926756056,1,0
"49",0,NA,0,0.2126,0.0463,16.4102960034109,11.9423188362227,7.28241753957942,137773.495835051,85700.7664756343,1,0
"50",0,NA,0,0.1216,0.0448,19.5507495524368,14.390978274192,8.5709996374896,185713.914038876,110148.7760427,1,0
"51",0,NA,0,0.2044,0.0423,18.6156946524932,12.5686338888897,7.41385927419408,173591.546258318,102169.739651207,1,0
"52",0,NA,0,0.1339,0.0468,17.2041306571603,12.4022264375366,7.63138309741433,189022.952485282,116299.404807806,1,0
"53",0,NA,0,0.188,0.0514,18.7071790574309,14.7752135442876,8.74703039958253,217638.221900171,126580.253598371,1,0
"54",0,NA,0,0.2331,0.0482,17.045005639756,11.4371587769588,6.85618769937539,140715.894073745,85599.7091181271,1,0
"55",0,NA,0,0.1306,0.0387,18.1532324756437,13.4901414182727,8.22589386138669,263942.724149402,157700.946022241,1,0
"56",0,NA,0,0.1494,0.0412,16.603087931497,11.9108212599035,7.37736725636007,164395.869340212,102487.703686499,1,0
"57",0,NA,0,0.1774,0.0461,18.050287897337,12.5436874861486,7.5221759207552,180881.789049474,108078.376118646,1,0
"58",0,NA,0,0.1692,0.0244,18.1829455131479,12.2854679567884,7.42088259985512,160653.869820348,97939.465667289,1,0
"59",0,NA,0,0.2269,0.0427,16.2968863885062,13.3646443565217,8.16570116728558,149037.538713292,92227.7046552913,1,0
"60",0,NA,0,0.1972,0.0451,17.3686733150571,13.1610075010653,7.95698445646349,188442.078158161,113355.6264476,1,0
"61",0,NA,0,0.2149,0.0569,17.1112373659603,12.6950852494874,7.65763422773831,204236.094642212,121775.640504573,1,0
"62",0,NA,0,0.2609,0.0354,16.5220728718042,12.1072369022644,7.2556380650337,220321.7523215,129944.983668878,1,0
"63",0,NA,0,0.22,0.0367,16.3523099768849,11.3484518959494,6.94140746471972,156466.278722923,96734.8313987881,1,0
"64",0,NA,0,0.2259,0.0367,18.1040892588863,12.2120910008853,7.23079750400052,264240.22993601,151963.263824349,1,0
"65",0,NA,0,0.1773,0.0313,20.3044447641886,16.0193620092701,9.33210762447067,251031.689827334,142397.779107858,1,0
"66",0,NA,0,0.1492,0.0448,18.1717602768794,11.5282279016976,6.97859648351088,260246.727160271,154037.810243487,1,0
"67",0,NA,0,0.196,0.0388,17.3309148987068,12.8193441077647,7.79044137290395,188362.985849682,113967.425599346,1,0
"68",0,NA,0,0.194,0.0491,18.5953245931592,13.905045723379,8.21074377363503,207447.818709312,120645.671889214,1,0
"69",0,NA,0,0.1792,0.0337,18.2456094901001,11.0070089283885,6.61560313327157,213998.192891114,126840.926753799,1,0
"70",0,NA,0,0.1274,0.0439,17.8600029030435,13.1954368255869,8.04759049917207,202399.403708314,122668.162394516,1,0
"71",0,NA,0,0.129,0.0301,19.8013734274375,15.4933847372368,9.21827150190713,236368.329175332,138297.895070287,1,0
"72",0,NA,0,0.2221,0.0389,16.7503492243595,13.0021472234626,7.90038574793992,205823.394570098,123725.672227755,1,0
"73",0,NA,0,0.1884,0.0339,18.5847250308464,12.3117822869512,7.35241881371485,208979.428811626,123143.477808654,1,0
"74",0,NA,0,0.1891,0.0465,17.6791382168402,12.1033610954043,7.2711699570974,174107.149091649,104642.302760946,1,0
