"","Sens_DR","Spec_DR","Number_recieving_MTC_care","proportion_died_before_discharge","proportion_died_between_discharge_and_1_year","Years_lived","undiscounted_QALYs","discounted_QALYs","undiscounted_Costs","discounted_Costs","proportion_ISS_over_16","proportion_ISS_over_8_under_16"
"1",0.493757094211124,0.843952187739884,0.1858,0.0301,0.0185,32.5259582570687,26.3526583418976,13.9636779388851,61985.5202685494,35588.1389267984,0.0881,0.1485
"2",0.508513053348468,0.84702269985744,0.1843,0.0316,0.0191,32.868167024965,26.3998849713945,13.94486330662,45860.9582830537,27124.542005256,0.0881,0.1485
"3",0.499432463110102,0.85053185656322,0.1803,0.0698,0.0194,31.4102760480613,24.8676371193654,13.1892819257468,73779.7172722508,40120.6851330038,0.0881,0.1485
"4",0.444948921679909,0.85327338523961,0.173,0.0462,0.0191,33.094019154051,25.745018581717,13.4737635628867,83660.9473187221,44691.4783829285,0.0881,0.1485
"5",0.515323496027242,0.844610154622217,0.1871,0.0378,0.0171,31.0260707892276,24.5956759643426,13.2296679745895,38651.7400352747,24542.8683419497,0.0881,0.1485
"6",0.540295119182747,0.844610154622217,0.1893,0.0616,0.019,32.7744554632979,26.4415992191589,13.8326288874213,61044.9529075276,34370.7037230225,0.0881,0.1485
"7",0.539160045402951,0.843952187739884,0.1898,0.0447,0.0194,32.1456795119943,25.649667751847,13.5797514567921,63405.1308889717,35339.9926980209,0.0881,0.1485
"8",0.511918274687855,0.849325583945608,0.1825,0.0176,0.0188,32.1414143153984,25.8419670149199,13.7964112020196,96938.7341488071,51699.0471395925,0.0881,0.1485
"9",0.566401816118048,0.849873889680886,0.1868,0.0733,0.0157,31.5021155341549,24.7332796331324,13.0825806867015,66142.08344302,37067.0303799751,0.0881,0.1485
"10",0.460839954597049,0.849654567386775,0.1777,0.0441,0.0178,32.5646218553,25.9520166576957,13.7211398167362,51689.8774299523,30041.1421081436,0.0881,0.1485
"11",0.531214528944381,0.839017436122382,0.1936,0.0475,0.0176,32.8746444476747,26.0995089206048,13.7098839788551,59685.1894421498,33948.9572321232,0.0881,0.1485
"12",0.46311010215664,0.850312534269108,0.1773,0.079,0.0185,32.008497591086,25.1586316013178,13.1955732798643,49380.4710055179,28903.5689584868,0.0881,0.1485
"13",0.561861520998865,0.842855576269328,0.1928,0.0423,0.0159,34.0355234736019,27.1286558041685,14.1092820191457,73541.0006539202,39396.0251420866,0.0881,0.1485
"14",0.557321225879682,0.843403882004606,0.1919,0.0345,0.0169,34.3577927877406,27.7366499116852,14.4043713414395,54412.1426140477,31396.7596823803,0.0881,0.1485
"15",0.51305334846765,0.840881675622327,0.1903,0.0796,0.0152,31.2004805926521,24.8657775411146,13.1788792375053,47889.5292786051,28495.5582838116,0.0881,0.1485
"16",0.530079455164586,0.841758964798772,0.191,0.043,0.017,33.1050739134936,25.9235852048423,13.5676395727782,69663.1889178676,38702.4077387612,0.0881,0.1485
"17",0.48694665153235,0.845816427239829,0.1835,0.0238,0.0186,32.5542438899894,25.641381471081,13.5877467096817,57328.2121274733,32862.7904426524,0.0881,0.1485
"18",0.505107832009081,0.846693716416274,0.1843,0.0283,0.0167,31.4447142468513,25.0248440773498,13.4171819508148,46188.9188383976,28127.6107721273,0.0881,0.1485
"19",0.507377979568672,0.844500493475162,0.1865,0.0378,0.0179,34.1867875060227,27.1681873169903,14.1066132095663,68314.8943671924,37691.9763005804,0.0881,0.1485
"20",0.523269012485812,0.848228972475052,0.1845,0.0349,0.0179,32.324280581134,25.7966008841782,13.6865196945321,42625.0234325673,25903.3269357147,0.0881,0.1485
"21",0.511918274687855,0.847571005592718,0.1841,0.0453,0.0165,32.7714452561993,26.5913891448771,14.0014381521305,68463.6352739945,37423.8048112007,0.0881,0.1485
"22",0.498297389330306,0.847351683298607,0.1831,0.0468,0.0183,31.9558627772914,25.0746877900969,13.2671117199902,58590.1896857336,33364.9564138027,0.0881,0.1485
"23",0.508513053348468,0.848886939357386,0.1826,0.0318,0.0169,33.3600534630173,26.1374841727885,13.7063447618987,67118.3879283857,36999.3482735331,0.0881,0.1485
"24",0.519863791146425,0.846255071828051,0.186,0.0816,0.0163,31.3629052634106,24.8424074615638,13.1221123530137,60062.9987343005,33230.4540983073,0.0881,0.1485
"25",0.522133938706016,0.841978287092883,0.1901,0.0751,0.0173,32.2993311299441,26.1676013098189,13.7346727396659,55585.7946811392,31869.3519028539,0.0881,0.1485
"26",0.527809307604994,0.852286434916109,0.1812,0.0492,0.0153,32.321644936309,25.374429329854,13.4048791805939,97914.4837279318,51722.2059423036,0.0881,0.1485
"27",0.545970488081725,0.850202873122053,0.1847,0.049,0.0182,31.2816520024845,25.0408420848841,13.3693994626892,80606.8301945201,43816.4653368258,0.0881,0.1485
"28",0.52894438138479,0.849106261651497,0.1842,0.0513,0.0162,33.5707185809133,26.2508013485226,13.6635110917278,89736.7275222066,46989.7620934596,0.0881,0.1485
